iter	Logloss
0	0.6915513411
1	0.6896453004
2	0.687726389
3	0.6851830753
4	0.6833941202
5	0.6817061781
6	0.6801585435
7	0.6782504121
8	0.67635427
9	0.6744228601
10	0.6721593638
11	0.6702857024
12	0.667932854
13	0.6658629556
14	0.6642750077
15	0.6625512281
16	0.6607658457
17	0.6597928616
18	0.6583889079
19	0.6569725442
20	0.6549291116
21	0.652904828
22	0.6510612034
23	0.6487743717
24	0.6466145189
25	0.644799875
26	0.6427842625
27	0.6406707397
28	0.6389479754
29	0.637323121
30	0.6360420991
31	0.6342070583
32	0.6327626995
33	0.6311617988
34	0.629852735
35	0.6275324292
36	0.6263120255
37	0.6250437752
38	0.6231696089
39	0.6218899605
40	0.6201082138
41	0.6181737317
42	0.6172383804
43	0.615742002
44	0.6142153816
45	0.6131273285
46	0.6123023585
47	0.6111784509
48	0.6102298384
49	0.608899557
50	0.6070773381
51	0.605037513
52	0.6032056367
53	0.6014848482
54	0.599863464
55	0.5987853133
56	0.5976855512
57	0.5964905233
58	0.5947224711
59	0.5929046308
60	0.5919924444
61	0.5904695609
62	0.5890307661
63	0.5881764203
64	0.5865516771
65	0.5856440411
66	0.5842497109
67	0.58241667
68	0.5811496963
69	0.5795065366
70	0.5781687797
71	0.5769328018
72	0.5752081106
73	0.57443677
74	0.5729496139
75	0.5711439036
76	0.5694976553
77	0.5682658795
78	0.5671004401
79	0.5659381517
80	0.5644452962
81	0.5630652675
82	0.5618058531
83	0.5607010637
84	0.5591205143
85	0.5577325427
86	0.5563096363
87	0.5551599602
88	0.5541796838
89	0.5530669564
90	0.5518865617
91	0.549647914
92	0.5482748118
93	0.5474042849
94	0.5467500443
95	0.5456863871
96	0.5446664499
97	0.5436696263
98	0.5422480232
99	0.5409945246
100	0.5400872518
101	0.5386744104
102	0.5377834191
103	0.5366830184
104	0.5355731186
105	0.5344912954
106	0.5337454093
107	0.5329330412
108	0.531577046
109	0.53052734
110	0.5287297168
111	0.527579751
112	0.5259681947
113	0.5247417931
114	0.5240100155
115	0.5231131405
116	0.5215707876
117	0.5203819732
118	0.5190517188
119	0.5181822121
120	0.5168206143
121	0.515944941
122	0.5149150209
123	0.514021076
124	0.5129853779
125	0.5120821636
126	0.5113749872
127	0.5098438234
128	0.5091924645
129	0.5083024508
130	0.507247203
131	0.5059126314
132	0.505073801
133	0.5042519734
134	0.5033429481
135	0.5022930946
136	0.501320841
137	0.5003884516
138	0.4993886965
139	0.4985279167
140	0.4976587521
141	0.4968045594
142	0.4956548627
143	0.4946292303
144	0.4935423315
145	0.4925314916
146	0.4916039148
147	0.4900092923
148	0.4886818801
149	0.4880532162
150	0.487182265
151	0.4862991083
152	0.4859145763
153	0.484978049
154	0.4840097781
155	0.4829727724
156	0.4815654517
157	0.4801841285
158	0.4792202343
159	0.4777660239
160	0.4768527484
161	0.4760997818
162	0.4753703054
163	0.4746321729
164	0.473470032
165	0.4727345339
166	0.4720911389
167	0.4712313952
168	0.4704250641
169	0.4695311759
170	0.4687980524
171	0.4674705907
172	0.4665171045
173	0.4653225032
174	0.4642546309
175	0.4637056719
176	0.463093768
177	0.4616228447
178	0.4607441629
179	0.4594712192
180	0.458774756
181	0.4581399314
182	0.4572343688
183	0.4562915766
184	0.4552191869
185	0.4546249497
186	0.4538754909
187	0.4529882178
188	0.4522193271
189	0.45206676
190	0.4515682148
191	0.4511731982
192	0.4501722096
193	0.4494882879
194	0.4487296239
195	0.4480478395
196	0.4475423382
197	0.4473241675
198	0.446815243
199	0.4459195114
200	0.445263902
201	0.4445185791
202	0.4440160625
203	0.4436749005
204	0.4427760843
205	0.4417285363
206	0.4408999106
207	0.4400229271
208	0.4389888102
209	0.4385693883
210	0.4375401763
211	0.4371827788
212	0.4364173801
213	0.4359003383
214	0.4351511949
215	0.4343741502
216	0.4336298739
217	0.4332485109
218	0.4325301086
219	0.4318087575
220	0.431316295
221	0.4304745921
222	0.4299562138
223	0.4289631763
224	0.4284186415
225	0.4276350679
226	0.4268742943
227	0.4260357213
228	0.4255321874
229	0.4246570879
230	0.4235820589
231	0.4227984246
232	0.4222813959
233	0.4218173889
234	0.4209418405
235	0.4203967149
236	0.4196981521
237	0.4189554199
238	0.4186424998
239	0.418091993
240	0.4175595575
241	0.417172463
242	0.4165843926
243	0.4162739764
244	0.4158220671
245	0.4155148454
246	0.4150267633
247	0.414830205
248	0.4143753053
249	0.4139116089
250	0.4135591694
251	0.4126333373
252	0.4120816482
253	0.411632566
254	0.4110073465
255	0.4102042484
256	0.4098335956
257	0.4092084626
258	0.4083319791
259	0.4073259493
260	0.4065018669
261	0.4058039576
262	0.4048793876
263	0.4040921224
264	0.4035159607
265	0.4028241933
266	0.402026663
267	0.4016205099
268	0.4011359863
269	0.4005837524
270	0.3998711522
271	0.3995618604
272	0.3990720596
273	0.3987131547
274	0.3982416402
275	0.3978838039
276	0.3973551101
277	0.3969521696
278	0.3963906383
279	0.3959451075
280	0.3954312733
281	0.3947219828
282	0.394107307
283	0.3935749307
284	0.3928378931
285	0.3922492612
286	0.3910278539
287	0.390593275
288	0.3901282338
289	0.3897388867
290	0.3892430799
291	0.3887130471
292	0.3881934771
293	0.3878302195
294	0.3875026592
295	0.3869641661
296	0.3865508006
297	0.3859995022
298	0.3857191165
299	0.384954085
300	0.3845433232
301	0.3841950265
302	0.3835567796
303	0.3831734535
304	0.3825250989
305	0.3822435288
306	0.3818187419
307	0.3813551401
308	0.3807253366
309	0.3802296949
310	0.3797936168
311	0.3794736866
312	0.3789286797
313	0.3781744022
314	0.377875334
315	0.3774882442
316	0.3767285439
317	0.3760785687
318	0.3758196461
319	0.3752523311
320	0.3746376841
321	0.3743116559
322	0.3738344016
323	0.3733992841
324	0.3729035649
325	0.3725074154
326	0.3718767987
327	0.3716027467
328	0.3707256119
329	0.3703160772
330	0.3698044937
331	0.369301107
332	0.3688016445
333	0.3684224603
334	0.3674738721
335	0.3665952213
336	0.3661518486
337	0.3657433902
338	0.364734935
339	0.364104398
340	0.363422581
341	0.3630266758
342	0.3624434961
343	0.3618947663
344	0.3613119385
345	0.3609062519
346	0.3608343421
