iter	Passed	Remaining
0	4	4065
1	7	3918
2	11	3835
3	15	3856
4	19	3919
5	23	3811
6	27	3880
7	30	3734
8	33	3659
9	37	3691
10	41	3725
11	45	3709
12	48	3711
13	52	3679
14	56	3689
15	59	3637
16	62	3624
17	66	3625
18	70	3639
19	73	3590
20	76	3566
21	79	3551
22	83	3547
23	88	3615
24	92	3625
25	95	3589
26	98	3558
27	103	3577
28	105	3529
29	109	3528
30	112	3523
31	117	3547
32	120	3543
33	124	3542
34	128	3533
35	132	3535
36	138	3609
37	142	3613
38	145	3587
39	149	3582
40	154	3616
41	158	3614
42	162	3611
43	166	3623
44	171	3629
45	174	3626
46	178	3624
47	183	3647
48	188	3661
49	193	3678
50	197	3677
51	202	3689
52	206	3688
53	210	3684
54	214	3690
55	219	3692
56	222	3688
57	226	3682
58	233	3726
59	237	3724
60	242	3728
61	246	3722
62	250	3725
63	254	3722
64	258	3717
65	262	3717
66	266	3713
67	271	3723
68	276	3729
69	282	3753
70	286	3752
71	290	3746
72	295	3750
73	299	3753
74	303	3746
75	308	3748
76	312	3743
77	316	3735
78	319	3728
79	323	3721
80	328	3727
81	332	3724
82	336	3720
83	340	3712
84	344	3708
85	348	3703
86	352	3698
87	356	3693
88	359	3682
89	362	3666
90	365	3646
91	367	3627
92	371	3622
93	374	3609
94	378	3602
95	382	3598
96	385	3591
97	390	3591
98	394	3593
99	398	3582
100	402	3583
101	407	3586
102	410	3579
103	413	3565
104	417	3555
105	420	3550
106	424	3542
107	428	3537
108	432	3535
109	435	3527
110	440	3527
111	444	3521
112	447	3516
113	451	3512
114	454	3499
115	458	3491
116	460	3475
117	464	3469
118	469	3472
119	474	3476
120	478	3474
121	481	3466
122	485	3464
123	490	3467
124	494	3462
125	499	3462
126	503	3460
127	507	3459
128	511	3453
129	515	3447
130	519	3448
131	523	3444
132	527	3439
133	531	3434
134	535	3431
135	539	3428
136	543	3424
137	547	3421
138	550	3412
139	554	3404
140	557	3398
141	561	3390
142	566	3397
143	571	3395
144	575	3391
145	578	3384
146	583	3385
147	587	3381
148	592	3382
149	597	3383
150	601	3379
151	605	3375
152	608	3370
153	614	3373
154	618	3371
155	622	3369
156	626	3365
157	632	3372
158	636	3368
159	641	3366
160	645	3364
161	649	3361
162	653	3355
163	657	3349
164	662	3351
165	666	3349
166	671	3348
167	674	3342
168	679	3340
169	683	3335
170	686	3328
171	692	3333
172	697	3333
173	701	3330
174	705	3325
175	710	3327
176	714	3322
177	719	3320
178	722	3315
179	727	3314
180	731	3310
181	737	3314
182	741	3309
183	745	3304
184	748	3298
185	752	3291
186	759	3300
187	763	3299
188	767	3294
189	769	3278
190	774	3278
191	778	3274
192	781	3268
193	787	3271
194	791	3268
195	795	3264
196	799	3258
197	804	3257
198	808	3254
199	812	3248
200	815	3243
201	820	3241
202	825	3239
203	829	3236
204	834	3237
205	839	3235
206	843	3232
207	847	3226
208	853	3229
209	856	3223
210	861	3220
211	864	3215
212	869	3213
213	873	3208
214	877	3204
215	882	3202
216	886	3199
217	894	3207
218	899	3207
219	903	3203
220	908	3203
221	912	3197
222	918	3200
223	922	3195
224	926	3189
225	929	3183
226	933	3179
227	939	3182
228	943	3176
229	949	3177
230	953	3173
231	957	3169
232	961	3163
233	965	3160
234	969	3156
235	973	3151
236	976	3143
237	979	3135
238	983	3132
239	987	3126
240	991	3121
241	996	3121
242	1000	3117
243	1005	3115
244	1009	3112
245	1014	3108
246	1017	3102
247	1019	3090
248	1024	3089
249	1028	3084
250	1031	3077
251	1034	3069
252	1037	3063
253	1043	3063
254	1047	3059
255	1051	3056
256	1055	3051
257	1060	3049
258	1064	3045
259	1069	3043
260	1074	3042
261	1078	3037
262	1081	3031
263	1085	3025
264	1092	3029
265	1096	3026
266	1100	3021
267	1104	3017
268	1109	3015
269	1113	3010
270	1118	3008
271	1123	3005
272	1127	3001
273	1130	2996
274	1134	2990
275	1139	2989
276	1143	2983
277	1147	2979
278	1150	2974
279	1157	2977
280	1161	2972
281	1166	2969
282	1171	2967
283	1175	2962
284	1178	2957
285	1183	2953
286	1188	2952
287	1194	2952
288	1198	2948
289	1203	2947
290	1207	2943
291	1212	2938
292	1215	2934
293	1219	2928
294	1224	2925
295	1227	2920
296	1231	2915
297	1236	2912
298	1239	2907
299	1243	2901
300	1248	2898
301	1253	2896
302	1257	2893
303	1261	2888
304	1266	2886
305	1272	2885
306	1276	2880
307	1280	2877
308	1284	2872
309	1288	2868
310	1292	2862
311	1296	2858
312	1300	2854
313	1304	2849
314	1310	2850
315	1314	2845
316	1318	2840
317	1321	2835
318	1326	2830
319	1330	2827
320	1334	2823
321	1338	2818
322	1343	2816
323	1347	2812
324	1351	2807
325	1356	2804
326	1361	2802
327	1365	2797
328	1369	2792
329	1374	2790
330	1378	2785
331	1382	2781
332	1385	2775
333	1389	2770
334	1393	2766
335	1396	2760
336	1401	2756
337	1406	2754
338	1410	2750
339	1414	2744
340	1417	2739
341	1430	2751
342	1434	2747
343	1438	2743
344	1442	2738
345	1446	2733
346	1448	2725
347	1452	2722
348	1456	2717
349	1460	2712
350	1464	2707
351	1467	2702
352	1472	2699
353	1476	2694
354	1480	2690
355	1484	2685
356	1488	2680
357	1492	2676
358	1496	2671
359	1501	2668
360	1505	2665
361	1509	2659
362	1512	2654
363	1516	2650
364	1521	2646
365	1525	2641
366	1528	2636
367	1532	2632
368	1537	2629
369	1541	2624
370	1546	2622
371	1550	2618
372	1554	2612
373	1558	2608
374	1561	2602
375	1567	2601
376	1571	2596
377	1575	2592
378	1579	2587
379	1584	2584
380	1588	2580
381	1592	2576
382	1596	2571
383	1601	2568
384	1605	2564
385	1608	2558
386	1613	2555
387	1617	2550
388	1621	2546
389	1625	2542
390	1630	2539
391	1634	2535
392	1638	2529
393	1643	2527
394	1647	2523
395	1651	2518
396	1655	2513
397	1660	2510
398	1665	2508
399	1669	2504
400	1673	2499
401	1678	2497
402	1682	2492
403	1686	2487
404	1691	2485
405	1696	2481
406	1700	2477
407	1704	2472
408	1709	2469
409	1713	2465
410	1716	2459
411	1719	2454
412	1723	2450
413	1729	2447
414	1732	2442
415	1738	2440
416	1743	2436
417	1746	2432
418	1751	2428
419	1755	2424
420	1760	2420
421	1764	2416
422	1768	2412
423	1773	2409
424	1778	2405
425	1782	2401
426	1785	2396
427	1789	2392
428	1794	2388
429	1797	2383
430	1801	2378
431	1806	2374
432	1809	2369
433	1813	2365
434	1817	2360
435	1822	2357
436	1826	2353
437	1830	2349
438	1835	2346
439	1839	2341
440	1843	2336
441	1847	2331
442	1851	2328
443	1855	2323
444	1860	2320
445	1864	2315
446	1869	2312
447	1873	2308
448	1876	2303
449	1881	2299
450	1885	2295
451	1888	2290
452	1892	2285
453	1898	2283
454	1903	2280
455	1907	2276
456	1911	2271
457	1916	2267
458	1920	2263
459	1923	2258
460	1929	2255
461	1934	2252
462	1939	2249
463	1943	2245
464	1948	2242
465	1953	2238
466	1958	2234
467	1963	2231
468	1968	2228
469	1973	2224
470	1977	2221
471	1981	2216
472	1984	2211
473	1988	2206
474	1991	2201
475	1995	2196
476	1999	2191
477	2002	2186
478	2006	2182
479	2011	2178
480	2015	2174
481	2019	2170
482	2024	2167
483	2028	2163
484	2032	2158
485	2036	2153
486	2040	2149
487	2044	2144
488	2048	2140
489	2051	2135
490	2055	2130
491	2060	2127
492	2064	2123
493	2068	2118
494	2072	2114
495	2080	2113
496	2083	2108
497	2087	2104
498	2092	2100
499	2095	2095
500	2099	2091
501	2103	2086
502	2108	2083
503	2112	2078
504	2116	2074
505	2120	2070
506	2124	2066
507	2128	2061
508	2132	2056
509	2138	2054
510	2142	2049
511	2147	2046
512	2150	2041
513	2155	2038
514	2159	2033
515	2162	2028
516	2166	2024
517	2171	2020
518	2175	2015
519	2178	2010
520	2182	2006
521	2188	2004
522	2193	2000
523	2196	1995
524	2201	1992
525	2205	1987
526	2209	1983
527	2214	1979
528	2218	1975
529	2222	1970
530	2226	1966
531	2230	1961
532	2233	1957
533	2238	1953
534	2242	1948
535	2245	1943
536	2249	1939
537	2253	1934
538	2256	1930
539	2261	1926
540	2265	1922
541	2269	1918
542	2273	1913
543	2276	1908
544	2281	1904
545	2285	1900
546	2290	1896
547	2294	1892
548	2299	1889
549	2303	1884
550	2307	1880
551	2311	1876
552	2315	1871
553	2319	1867
554	2322	1862
555	2327	1858
556	2331	1854
557	2335	1849
558	2339	1845
559	2343	1841
560	2347	1837
561	2351	1832
562	2356	1828
563	2361	1825
564	2365	1820
565	2368	1816
566	2372	1811
567	2378	1808
568	2382	1804
569	2385	1799
570	2389	1795
571	2394	1791
572	2398	1787
573	2401	1782
574	2406	1778
575	2412	1775
576	2415	1771
577	2419	1766
578	2425	1763
579	2428	1758
580	2433	1754
581	2436	1750
582	2442	1747
583	2446	1742
584	2451	1739
585	2456	1735
586	2460	1731
587	2464	1726
588	2467	1721
589	2473	1718
590	2476	1714
591	2480	1709
592	2484	1705
593	2488	1701
594	2492	1696
595	2496	1692
596	2501	1688
597	2505	1684
598	2509	1679
599	2512	1675
600	2516	1670
601	2521	1666
602	2525	1662
603	2529	1658
604	2532	1653
605	2537	1649
606	2540	1644
607	2543	1640
608	2549	1637
609	2553	1632
610	2557	1628
611	2561	1623
612	2565	1619
613	2569	1615
614	2573	1611
615	2578	1607
616	2582	1602
617	2586	1598
618	2590	1594
619	2594	1590
620	2598	1586
621	2602	1581
622	2606	1577
623	2610	1572
624	2616	1569
625	2619	1565
626	2623	1560
627	2626	1556
628	2632	1552
629	2636	1548
630	2640	1543
631	2645	1540
632	2649	1535
633	2653	1531
634	2656	1527
635	2661	1523
636	2665	1518
637	2669	1514
638	2672	1509
639	2677	1505
640	2681	1501
641	2684	1497
642	2689	1493
643	2694	1489
644	2698	1485
645	2702	1481
646	2706	1476
647	2711	1472
648	2715	1468
649	2719	1464
650	2722	1459
651	2727	1455
652	2731	1451
653	2735	1447
654	2740	1443
655	2744	1439
656	2748	1434
657	2751	1430
658	2756	1426
659	2760	1422
660	2764	1417
661	2768	1413
662	2772	1409
663	2776	1405
664	2780	1400
665	2784	1396
666	2788	1392
667	2792	1387
668	2796	1383
669	2799	1379
670	2804	1375
671	2809	1371
672	2813	1367
673	2817	1362
674	2822	1359
675	2826	1354
676	2830	1350
677	2835	1346
678	2839	1342
679	2842	1337
680	2846	1333
681	2852	1329
682	2856	1325
683	2861	1321
684	2865	1317
685	2870	1313
686	2874	1309
687	2877	1305
688	2882	1300
689	2885	1296
690	2890	1292
691	2893	1287
692	2897	1283
693	2901	1279
694	2905	1274
695	2909	1270
696	2913	1266
697	2918	1262
698	2922	1258
699	2926	1254
700	2931	1250
701	2935	1245
702	2938	1241
703	2942	1237
704	2947	1233
705	2951	1229
706	2955	1224
707	2958	1220
708	2963	1216
709	2967	1212
710	2972	1208
711	2978	1204
712	2982	1200
713	2986	1196
714	2990	1191
715	2995	1188
716	2999	1183
717	3003	1179
718	3006	1175
719	3011	1171
720	3015	1166
721	3019	1162
722	3024	1158
723	3028	1154
724	3032	1150
725	3036	1145
726	3040	1141
727	3045	1137
728	3049	1133
729	3052	1129
730	3056	1124
731	3060	1120
732	3064	1116
733	3068	1111
734	3072	1107
735	3076	1103
736	3080	1099
737	3084	1095
738	3089	1091
739	3093	1086
740	3099	1083
741	3103	1078
742	3107	1074
743	3111	1070
744	3115	1066
745	3119	1062
746	3123	1057
747	3127	1053
748	3131	1049
749	3136	1045
750	3140	1041
751	3144	1037
752	3148	1032
753	3153	1028
754	3157	1024
755	3161	1020
756	3166	1016
757	3171	1012
758	3174	1008
759	3178	1003
760	3182	999
761	3187	995
762	3191	991
763	3194	986
764	3198	982
765	3201	978
766	3205	973
767	3208	969
768	3214	965
769	3218	961
770	3220	956
771	3224	952
772	3228	947
773	3233	944
774	3237	939
775	3241	935
776	3245	931
777	3250	927
778	3254	923
779	3259	919
780	3263	915
781	3271	912
782	3275	907
783	3277	902
784	3282	899
785	3288	895
786	3292	891
787	3296	887
788	3300	882
789	3304	878
790	3307	873
791	3310	869
792	3314	865
793	3318	860
794	3322	856
795	3327	852
796	3331	848
797	3334	844
798	3338	839
799	3342	835
800	3346	831
801	3350	827
802	3354	822
803	3358	818
804	3362	814
805	3366	810
806	3370	805
807	3375	802
808	3379	797
809	3383	793
810	3387	789
811	3392	785
812	3396	781
813	3399	776
814	3404	772
815	3408	768
816	3412	764
817	3415	759
818	3419	755
819	3424	751
820	3428	747
821	3432	743
822	3436	739
823	3440	734
824	3444	730
825	3448	726
826	3453	722
827	3457	718
828	3461	713
829	3465	709
830	3470	705
831	3474	701
832	3478	697
833	3482	693
834	3487	689
835	3491	684
836	3495	680
837	3498	676
838	3502	672
839	3505	667
840	3509	663
841	3512	659
842	3517	655
843	3521	650
844	3525	646
845	3529	642
846	3534	638
847	3538	634
848	3541	629
849	3546	625
850	3551	621
851	3554	617
852	3558	613
853	3562	609
854	3570	605
855	3574	601
856	3577	597
857	3582	592
858	3587	588
859	3591	584
860	3595	580
861	3600	576
862	3605	572
863	3609	568
864	3613	563
865	3617	559
866	3621	555
867	3625	551
868	3630	547
869	3634	543
870	3638	538
871	3642	534
872	3646	530
873	3651	526
874	3654	522
875	3658	517
876	3663	513
877	3666	509
878	3669	505
879	3673	500
880	3677	496
881	3682	492
882	3686	488
883	3691	484
884	3696	480
885	3700	476
886	3703	471
887	3708	467
888	3712	463
889	3716	459
890	3719	455
891	3724	451
892	3728	446
893	3732	442
894	3737	438
895	3741	434
896	3745	430
897	3748	425
898	3752	421
899	3756	417
900	3760	413
901	3764	409
902	3768	404
903	3772	400
904	3776	396
905	3780	392
906	3784	388
907	3789	383
908	3792	379
909	3796	375
910	3799	371
911	3806	367
912	3810	363
913	3813	358
914	3818	354
915	3823	350
916	3827	346
917	3832	342
918	3835	338
919	3839	333
920	3843	329
921	3847	325
922	3852	321
923	3856	317
924	3861	313
925	3865	308
926	3869	304
927	3873	300
928	3877	296
929	3881	292
930	3884	287
931	3888	283
932	3891	279
933	3895	275
934	3899	271
935	3903	266
936	3907	262
937	3911	258
938	3915	254
939	3919	250
940	3923	246
941	3927	241
942	3931	237
943	3935	233
944	3939	229
945	3943	225
946	3948	220
947	3951	216
948	3956	212
949	3960	208
950	3965	204
951	3968	200
952	3973	195
953	3978	191
954	3982	187
955	3986	183
956	3990	179
957	3995	175
958	3999	170
959	4003	166
960	4006	162
961	4010	158
962	4014	154
963	4017	150
964	4022	145
965	4026	141
966	4030	137
967	4033	133
968	4037	129
969	4040	124
970	4043	120
971	4047	116
972	4051	112
973	4055	108
974	4058	104
975	4061	99
976	4065	95
977	4069	91
978	4073	87
979	4077	83
980	4081	79
981	4085	74
982	4090	70
983	4094	66
984	4098	62
985	4102	58
986	4106	54
987	4110	49
988	4114	45
989	4119	41
990	4123	37
991	4127	33
992	4130	29
993	4135	24
994	4140	20
995	4143	16
996	4147	12
997	4152	8
998	4156	4
999	4159	0
