iter	Passed	Remaining
0	4	4271
1	6	3395
2	8	2817
3	10	2555
4	12	2397
5	13	2280
6	15	2184
7	17	2122
8	18	2071
9	20	2054
10	22	2021
11	24	1995
12	25	1960
13	27	1939
14	29	1920
15	31	1908
16	32	1895
17	34	1888
18	36	1884
19	38	1869
20	39	1849
21	41	1837
22	42	1825
23	44	1813
24	46	1804
25	47	1790
26	49	1781
27	51	1794
28	53	1794
29	55	1791
30	57	1783
31	58	1774
32	60	1772
33	62	1778
34	64	1768
35	65	1765
36	67	1750
37	68	1739
38	70	1726
39	71	1716
40	73	1709
41	74	1701
42	76	1693
43	77	1694
44	79	1687
45	81	1699
46	83	1696
47	85	1691
48	86	1686
49	88	1677
50	89	1672
51	91	1662
52	92	1656
53	94	1654
54	96	1650
55	97	1642
56	99	1638
57	100	1632
58	101	1624
59	103	1617
60	104	1609
61	106	1606
62	107	1600
63	109	1602
64	111	1599
65	112	1591
66	113	1584
67	115	1578
68	116	1573
69	117	1567
70	119	1561
71	120	1555
72	122	1550
73	123	1544
74	125	1545
75	126	1538
76	127	1533
77	129	1528
78	130	1523
79	132	1520
80	133	1515
81	135	1511
82	136	1506
83	137	1501
84	139	1497
85	143	1523
86	144	1519
87	146	1516
88	147	1511
89	149	1506
90	150	1502
91	151	1499
